YEAR,MONTH,RP,GAS_PRICE,OIL_PRICE,YQ,YM,도시가스_민수용,도시가스_산업용,도시가스_총합,민수용비중,산업용비중,QUATER,QVA
1996,1,0.97,26.94,27.86,1996Q1,19961,605519,83809,689328,0.87842,0.12158,Q1,36550.3
1996,2,0.93,26.94,29.04,1996Q1,19962,566323,70427,636750,0.8894,0.1106,Q1,36550.3
1996,3,0.96,26.94,27.99,1996Q1,19963,477514,62652,540166,0.88401,0.11599,Q1,36550.3
1996,4,0.94,26.94,28.74,1996Q2,19964,337794,47050,384844,0.87774,0.12226,Q2,37152.4
1996,5,0.92,26.94,29.18,1996Q2,19965,184522,30709,215231,0.85732,0.14268,Q2,37152.4
1996,6,0.94,26.94,28.73,1996Q2,19966,116416,28534,144950,0.80315,0.19685,Q2,37152.4
1996,7,0.86,26.94,31.19,1996Q3,19967,109474,31117,140591,0.77867,0.22133,Q3,37792.4
1996,8,0.83,26.94,32.55,1996Q3,19968,94736,28188,122924,0.77069,0.22931,Q3,37792.4
1996,9,0.81,26.94,33.11,1996Q3,19969,105143,36977,142120,0.73982,0.26018,Q3,37792.4
1996,10,0.79,26.94,34.17,1996Q4,199610,237249,61954,299203,0.79294,0.20706,Q4,38372.4
1996,11,0.75,26.94,35.88,1996Q4,199611,434413,79268,513681,0.84569,0.15431,Q4,38372.4
1996,12,0.74,26.94,36.3,1996Q4,199612,651230,100546,751776,0.86626,0.13374,Q4,38372.4
1997,1,0.69,26.94,39.02,1997Q1,19971,775522,104709,880231,0.88104,0.11896,Q1,38710.8
1997,2,0.68,26.94,39.43,1997Q1,19972,640683,84149,724832,0.88391,0.11609,Q1,38710.8
1997,3,0.74,28.24,38.35,1997Q1,19973,532435,75136,607571,0.87633,0.12367,Q1,38710.8
1997,4,0.81,31.02,38.13,1997Q2,19974,357484,62380,419864,0.85143,0.14857,Q2,40823.0
1997,5,0.83,31.02,37.23,1997Q2,19975,248334,59376,307710,0.80704,0.19296,Q2,40823.0
1997,6,0.82,31.02,37.77,1997Q2,19976,154617,57654,212271,0.72839,0.27161,Q2,40823.0
1997,7,0.87,31.02,35.49,1997Q3,19977,138050,66246,204296,0.67574,0.32426,Q3,40274.9
1997,8,0.89,31.02,34.88,1997Q3,19978,119715,62134,181849,0.65832,0.34168,Q3,40274.9
1997,9,0.85,31.02,36.32,1997Q3,19979,164985,84552,249537,0.66116,0.33884,Q3,40274.9
1997,10,0.84,31.02,36.88,1997Q4,199710,332390,114588,446978,0.74364,0.25636,Q4,39448.7
1997,11,0.79,31.02,39.34,1997Q4,199711,510747,125912,636659,0.80223,0.19777,Q4,39448.7
1997,12,0.63,39.86,62.8,1997Q4,199712,752219,146195,898414,0.83727,0.16273,Q4,39448.7
1998,1,0.6,39.86,66.48,1998Q1,19981,807493,143631,951123,0.84899,0.15101,Q1,36553.0
1998,2,0.63,45.3,71.9,1998Q1,19982,663455,118575,782031,0.84837,0.15162,Q1,36553.0
1998,3,0.79,45.3,57.24,1998Q1,19983,571545,124297,695842,0.82137,0.17863,Q1,36553.0
1998,4,0.8,45.3,56.9,1998Q2,19984,331872,88168,420040,0.7901,0.2099,Q2,35736.4
1998,5,0.92,45.3,49.33,1998Q2,19985,215061,86596,301657,0.71293,0.28707,Q2,35736.4
1998,6,0.93,45.3,48.77,1998Q2,19986,171457,84263,255719,0.67049,0.32951,Q2,35736.4
1998,7,0.93,45.3,48.56,1998Q3,19987,148578,82096,230674,0.6441,0.3559,Q3,36688.8
1998,8,0.94,45.3,48.44,1998Q3,19988,143551,80149,223700,0.64171,0.35829,Q3,36688.8
1998,9,0.91,45.3,49.66,1998Q3,19989,148313,99828,248141,0.5977,0.4023,Q3,36688.8
1998,10,0.81,42.51,52.75,1998Q4,199810,267633,110683,378316,0.70743,0.29257,Q4,39039.8
1998,11,0.8,42.51,52.92,1998Q4,199811,589639,147062,736701,0.80038,0.19962,Q4,39039.8
1998,12,0.85,42.51,50.28,1998Q4,199812,845802,163127,1008929,0.83832,0.16168,Q4,39039.8
1999,1,0.9,41.46,45.99,1999Q1,19991,984487,174067,1158554,0.84975,0.15025,Q1,39785.9
1999,2,0.91,41.46,45.48,1999Q1,19992,847927,139679,987606,0.85857,0.14143,Q1,39785.9
1999,3,0.92,41.46,45.28,1999Q1,19993,734345,149395,883741,0.83095,0.16905,Q1,39785.9
1999,4,0.81,38.56,47.57,1999Q2,19994,462060,114053,576113,0.80203,0.19797,Q2,44028.0
1999,5,0.76,38.56,50.69,1999Q2,19995,290920,114552,405471,0.71749,0.28252,Q2,44028.0
1999,6,0.75,38.07,50.66,1999Q2,19996,189179,108706,297885,0.63507,0.36493,Q2,44028.0
1999,7,0.75,38.07,50.57,1999Q3,19997,163166,118905,282071,0.57846,0.42154,Q3,46253.5
1999,8,0.73,38.07,51.99,1999Q3,19998,161284,117823,279108,0.57786,0.42214,Q3,46253.5
1999,9,0.7,38.07,54.08,1999Q3,19999,183081,127849,310930,0.58882,0.41118,Q3,46253.5
1999,10,0.72,41.78,58.37,1999Q4,199910,402061,170198,572259,0.70259,0.29741,Q4,48516.7
1999,11,0.69,41.78,60.97,1999Q4,199911,657325,196487,853812,0.76987,0.23013,Q4,48516.7
1999,12,0.69,41.78,60.23,1999Q4,199912,1027319,251488,1278807,0.80334,0.19666,Q4,48516.7
2000,1,0.77,44.74,58.07,2000Q1,20001,1148336,248266,1396602,0.82224,0.17776,Q1,49942.6
2000,2,0.77,44.74,58.24,2000Q1,20002,1082801,219592,1302393,0.83139,0.16861,Q1,49942.6
2000,3,0.77,44.74,58.42,2000Q1,20003,847669,213263,1060932,0.79899,0.20101,Q1,49942.6
2000,4,0.77,44.74,57.94,2000Q2,20004,548101,172968,721068,0.76012,0.23988,Q2,51149.6
2000,5,0.88,49.06,55.49,2000Q2,20005,350196,164437,514633,0.68048,0.31952,Q2,51149.6
2000,6,0.82,49.06,59.67,2000Q2,20006,206964,156473,363437,0.56946,0.43054,Q2,51149.6
2000,7,0.82,49.06,59.98,2000Q3,20007,181402,163679,345081,0.52568,0.47432,Q3,54074.1
2000,8,0.79,49.06,62.02,2000Q3,20008,179319,168129,347448,0.5161,0.4839,Q3,54074.1
2000,9,0.76,49.06,64.65,2000Q3,20009,239174,179575,418749,0.57116,0.42884,Q3,54074.1
2000,10,0.77,52.65,68.11,2000Q4,200010,416665,219854,636519,0.6546,0.3454,Q4,52300.1
2000,11,0.77,52.65,68.49,2000Q4,200011,763938,264161,1028100,0.74306,0.25694,Q4,52300.1
2000,12,0.77,52.65,68.58,2000Q4,200012,1099623,293726,1393349,0.78919,0.21081,Q4,52300.1
2001,1,0.87,57.65,66.42,2001Q1,20011,1368105,293287,1661392,0.82347,0.17653,Q1,52935.4
2001,2,0.88,57.65,65.88,2001Q1,20012,1108879,251299,1360178,0.81525,0.18475,Q1,52935.4
2001,3,0.87,57.65,66.28,2001Q1,20013,950504,257269,1207772,0.78699,0.21301,Q1,52935.4
2001,4,0.9,60.56,67.18,2001Q2,20014,552465,192383,744849,0.74171,0.25828,Q2,52914.6
2001,5,0.91,60.56,66.19,2001Q2,20015,318955,182192,501146,0.63645,0.36355,Q2,52914.6
2001,6,0.91,60.56,66.19,2001Q2,20016,217625,181047,398672,0.54587,0.45413,Q2,52914.6
2001,7,0.9,60.56,67.32,2001Q3,20017,212416,182720,395137,0.53758,0.46242,Q3,53260.6
2001,8,0.92,60.56,65.7,2001Q3,20018,193381,175939,369320,0.52361,0.47639,Q3,53260.6
2001,9,0.93,60.56,65.08,2001Q3,20019,202370,200150,402520,0.50276,0.49724,Q3,53260.6
2001,10,0.93,60.56,65.23,2001Q4,200110,383573,224570,608143,0.63073,0.36927,Q4,54254.1
2001,11,0.98,60.56,61.95,2001Q4,200111,795997,281975,1077972,0.73842,0.26158,Q4,54254.1
2001,12,1.02,59.64,58.45,2001Q4,200112,1246694,325748,1572442,0.79284,0.20716,Q4,54254.1
2002,1,0.86,51.11,59.56,2002Q1,20021,1291199,315492,1606691,0.80364,0.19636,Q1,56059.0
2002,2,0.85,51.11,60.08,2002Q1,20022,1066290,248165,1314455,0.8112,0.1888,Q1,56059.0
2002,3,0.83,51.11,61.72,2002Q1,20023,890162,268288,1158450,0.76841,0.23159,Q1,56059.0
2002,4,0.79,51.11,64.61,2002Q2,20024,551890,224015,775905,0.71129,0.28871,Q2,57725.0
2002,5,0.77,51.11,66.51,2002Q2,20025,386105,223769,609874,0.63309,0.36691,Q2,57725.0
2002,6,0.77,51.11,66.25,2002Q2,20026,251404,199340,450744,0.55775,0.44225,Q2,57725.0
2002,7,0.76,51.11,67.22,2002Q3,20027,235945,215771,451717,0.52233,0.47767,Q3,59539.5
2002,8,0.77,51.11,66.76,2002Q3,20028,237199,215254,452454,0.52425,0.47575,Q3,59539.5
2002,9,0.75,51.11,68.27,2002Q3,20029,264393,219173,483566,0.54676,0.45324,Q3,59539.5
2002,10,0.71,51.11,71.66,2002Q4,200210,559568,297623,857191,0.65279,0.34721,Q4,60269.3
2002,11,0.74,53.76,73.12,2002Q4,200211,1066576,327793,1394368,0.76492,0.23508,Q4,60269.3
2002,12,0.75,53.76,71.34,2002Q4,200212,1293196,345488,1638685,0.78917,0.21083,Q4,60269.3
2003,1,0.74,55.31,74.8,2003Q1,20031,1560357,367416,1927774,0.80941,0.19059,Q1,59793.3
2003,2,0.72,55.31,76.7,2003Q1,20032,1176215,280765,1456980,0.8073,0.1927,Q1,59793.3
2003,3,0.75,58.77,78.68,2003Q1,20033,1054488,308751,1363239,0.77352,0.22648,Q1,59793.3
2003,4,0.8,58.77,73.07,2003Q2,20034,643963,242834,886797,0.72617,0.27383,Q2,59170.1
2003,5,0.83,58.77,70.62,2003Q2,20035,396910,224652,621562,0.63857,0.36143,Q2,59170.1
2003,6,0.85,58.77,69.27,2003Q2,20036,278453,221918,500371,0.55649,0.44351,Q2,59170.1
2003,7,0.8,57.54,71.78,2003Q3,20037,269741,228552,498293,0.54133,0.45867,Q3,61648.2
2003,8,0.8,57.54,72.27,2003Q3,20038,253603,222390,475994,0.53279,0.46721,Q3,61648.2
2003,9,0.75,54.87,72.93,2003Q3,20039,287316,227369,514685,0.55824,0.44176,Q3,61648.2
2003,10,0.75,54.87,73.11,2003Q4,200310,535197,304255,839452,0.63756,0.36244,Q4,64728.1
2003,11,0.73,54.87,75.53,2003Q4,200311,829249,301014,1130264,0.73368,0.26632,Q4,64728.1
2003,12,0.71,54.87,77.42,2003Q4,200312,1369037,394147,1763184,0.77646,0.22354,Q4,64728.1
2004,1,0.73,57.84,79.63,2004Q1,20041,1553307,363492,1916800,0.81036,0.18963,Q1,66644.6
2004,2,0.72,57.84,80.85,2004Q1,20042,1300586,326216,1626802,0.79947,0.20053,Q1,66644.6
2004,3,0.72,57.84,80.53,2004Q1,20043,1122849,332346,1455195,0.77161,0.22839,Q1,66644.6
2004,4,0.72,57.84,80.87,2004Q2,20044,670097,259855,929953,0.72057,0.27943,Q2,67708.2
2004,5,0.71,57.84,81.66,2004Q2,20045,452718,249423,702141,0.64477,0.35523,Q2,67708.2
2004,6,0.7,57.84,82.16,2004Q2,20046,300907,235960,536867,0.56049,0.43951,Q2,67708.2
2004,7,0.71,57.84,81.99,2004Q3,20047,297785,248155,545941,0.54545,0.45455,Q3,67888.4
2004,8,0.68,57.84,85.11,2004Q3,20048,263000,232494,495494,0.53078,0.46922,Q3,67888.4
2004,9,0.71,61.86,86.65,2004Q3,20049,285974,250028,536002,0.53353,0.46647,Q3,67888.4
2004,10,0.7,61.86,88.39,2004Q4,200410,520696,311468,832164,0.62571,0.37429,Q4,68461.7
2004,11,0.74,66.06,89.13,2004Q4,200411,853352,333831,1187183,0.7188,0.2812,Q4,68461.7
2004,12,0.78,66.06,84.63,2004Q4,200412,1337304,401977,1739281,0.76888,0.23112,Q4,68461.7
2005,1,0.77,63.96,83.24,2005Q1,20051,1686918,425039,2111957,0.79875,0.20125,Q1,68985.3
2005,2,0.76,63.96,83.62,2005Q1,20052,1507942,337263,1845204,0.81722,0.18278,Q1,68985.3
2005,3,0.67,58.02,86.15,2005Q1,20053,1299957,365855,1665812,0.78037,0.21963,Q1,68985.3
2005,4,0.64,58.02,90.89,2005Q2,20054,720771,269607,990378,0.72777,0.27223,Q2,70370.0
2005,5,0.67,60.75,90.3,2005Q2,20055,449185,263080,712265,0.63064,0.36936,Q2,70370.0
2005,6,0.66,59.75,90.83,2005Q2,20056,314339,247276,561615,0.55971,0.44029,Q2,70370.0
2005,7,0.64,61.67,96.08,2005Q3,20057,299187,255224,554412,0.53965,0.46035,Q3,72254.6
2005,8,0.63,61.67,98.16,2005Q3,20058,279058,250390,529448,0.52707,0.47293,Q3,72254.6
2005,9,0.6,61.67,102.3,2005Q3,20059,295571,257684,553255,0.53424,0.46576,Q3,72254.6
2005,10,0.6,61.67,103.56,2005Q4,200510,535890,333379,869268,0.61648,0.38352,Q4,73486.0
2005,11,0.65,65.19,100.7,2005Q4,200511,956702,363702,1320403,0.72455,0.27545,Q4,73486.0
2005,12,0.66,65.19,99.4,2005Q4,200512,1814903,503609,2318513,0.78279,0.21721,Q4,73486.0
2006,1,0.69,69.76,100.93,2006Q1,20061,1663668,403770,2067438,0.8047,0.1953,Q1,75432.2
2006,2,0.69,69.76,101.83,2006Q1,20062,1465276,369548,1834824,0.79859,0.20141,Q1,75432.2
2006,3,0.68,69.76,102.17,2006Q1,20063,1252496,380259,1632754,0.76711,0.23289,Q1,75432.2
2006,4,0.66,69.76,105.24,2006Q2,20064,827127,307253,1134381,0.72914,0.27086,Q2,75902.1
2006,5,0.66,69.76,106.38,2006Q2,20065,470598,276380,746978,0.63,0.37,Q2,75902.1
2006,6,0.65,69.76,106.76,2006Q2,20066,338470,279418,617889,0.54778,0.45221,Q2,75902.1
2006,7,0.69,75.57,108.98,2006Q3,20067,334729,287040,621768,0.53835,0.46165,Q3,78182.7
2006,8,0.69,75.57,109.87,2006Q3,20068,309326,269467,578793,0.53443,0.46557,Q3,78182.7
2006,9,0.78,82.68,106.38,2006Q3,20069,314777,316123,630900,0.49893,0.50107,Q3,78182.7
2006,10,0.82,82.68,100.38,2006Q4,200610,412591,315971,728562,0.56631,0.43369,Q4,77988.6
2006,11,0.78,76.69,98.3,2006Q4,200611,940748,419670,1360418,0.69151,0.30849,Q4,77988.6
2006,12,0.78,76.69,98.47,2006Q4,200612,1533772,468451,2002223,0.76603,0.23397,Q4,77988.6
2007,1,0.76,73.6,97.08,2007Q1,20071,1645363,461726,2107089,0.78087,0.21913,Q1,80381.3
2007,2,0.76,73.6,97.25,2007Q1,20072,1304625,350887,1655511,0.78805,0.21195,Q1,80381.3
2007,3,0.71,71.55,100.61,2007Q1,20073,1242387,419078,1661465,0.74777,0.25223,Q1,80381.3
2007,4,0.69,71.55,103.96,2007Q2,20074,831041,345166,1176207,0.70654,0.29346,Q2,82195.9
2007,5,0.7,74.89,107.27,2007Q2,20075,483763,308941,792705,0.61027,0.38973,Q2,82195.9
2007,6,0.69,74.89,108.09,2007Q2,20076,340698,302641,643339,0.52958,0.47042,Q2,82195.9
2007,7,0.68,74.89,109.95,2007Q3,20077,325438,316323,641760,0.5071,0.4929,Q3,83645.0
2007,8,0.68,74.89,109.85,2007Q3,20078,320590,309352,629941,0.50892,0.49108,Q3,83645.0
2007,9,0.74,83.24,112.46,2007Q3,20079,318500,319912,638413,0.49889,0.50111,Q3,83645.0
2007,10,0.72,83.24,115.2,2007Q4,200710,549074,399752,948826,0.57869,0.42131,Q4,86446.3
2007,11,0.7,85.65,122.21,2007Q4,200711,1067962,459067,1527029,0.69937,0.30063,Q4,86446.3
2007,12,0.67,85.65,127.47,2007Q4,200712,1536487,489887,2026374,0.75824,0.24176,Q4,86446.3
2008,1,0.65,83.24,128.93,2008Q1,20081,1784041,528585,2312626,0.77144,0.22856,Q1,87193.8
2008,2,0.64,83.24,129.37,2008Q1,20082,1646181,440978,2087159,0.78872,0.21128,Q1,87193.8
2008,3,0.62,83.24,133.6,2008Q1,20083,1183208,417593,1600801,0.73913,0.26087,Q1,87193.8
2008,4,0.59,83.24,141.35,2008Q2,20084,728851,359253,1088104,0.66984,0.33016,Q2,87964.1
2008,5,0.53,83.24,155.7,2008Q2,20085,479449,347757,827206,0.5796,0.4204,Q2,87964.1
2008,6,0.49,83.24,169.09,2008Q2,20086,359609,363768,723377,0.49713,0.50287,Q2,87964.1
2008,7,0.48,83.24,173.66,2008Q3,20087,331818,391362,723180,0.45883,0.54117,Q3,88477.8
